17:56:51.277 [ApplicationImpl pooled thread 21] INFO  c.b.l.BrowserStackRunExtension - maven
17:56:51.279 [ApplicationImpl pooled thread 21] INFO  com.browserstack.utils.Helpers - null
18:11:36.114 [ApplicationImpl pooled thread 118] INFO  c.b.l.BrowserStackRunExtension - testng
18:11:36.114 [ApplicationImpl pooled thread 118] INFO  com.browserstack.utils.Helpers - null
18:11:36.116 [ApplicationImpl pooled thread 118] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:12:40.575 [ApplicationImpl pooled thread 113] INFO  c.b.l.BrowserStackRunExtension - testng
18:12:40.575 [ApplicationImpl pooled thread 113] INFO  com.browserstack.utils.Helpers - null
18:12:40.576 [ApplicationImpl pooled thread 113] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:14:40.640 [ApplicationImpl pooled thread 121] INFO  c.b.l.BrowserStackRunExtension - testng
18:14:40.640 [ApplicationImpl pooled thread 121] INFO  com.browserstack.utils.Helpers - null
18:14:40.641 [ApplicationImpl pooled thread 121] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:15:17.560 [ApplicationImpl pooled thread 121] INFO  c.b.l.BrowserStackRunExtension - testng
18:15:17.560 [ApplicationImpl pooled thread 121] INFO  com.browserstack.utils.Helpers - null
18:15:17.562 [ApplicationImpl pooled thread 121] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:15:52.429 [ApplicationImpl pooled thread 121] INFO  c.b.l.BrowserStackRunExtension - testng
18:15:52.429 [ApplicationImpl pooled thread 121] INFO  com.browserstack.utils.Helpers - null
18:15:52.430 [ApplicationImpl pooled thread 121] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:16:13.802 [ApplicationImpl pooled thread 124] INFO  c.b.l.BrowserStackRunExtension - testng
18:16:13.802 [ApplicationImpl pooled thread 124] INFO  com.browserstack.utils.Helpers - null
18:16:13.803 [ApplicationImpl pooled thread 124] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:16:57.184 [ApplicationImpl pooled thread 124] INFO  c.b.l.BrowserStackRunExtension - testng
